document_id,document_name,document_type,issuing_authority_id,required_for,validity,reusable,reuse_conditions,verification_method,notes
DOC-001,Form BRA Application (with application-fee challan),Application form,AUTH-EXCISE,BRL-001,"One-time, per application",fresh_required,A new application is required for each licensing action; not reusable.,Manual review by Excise officer,
DOC-002,Beer Manufacturing Process Statement (4 copies),Technical statement,,BRL-001;MPCB-CTE-001;MPCB-CTO-001,Tied to current process,conditional,Reusable across all three approvals above if the manufacturing process is unchanged from the prior submission.,Technical review,Shared document across 3 approvals — this is exactly the kind of overlap that should NOT also become a Dependency edge; see dependencies.csv notes.
DOC-003,"Plans/Blueprints of Premises, Machinery, Vessels & Apparatus",Technical drawing,,BRL-001,Tied to current premises/plant layout,conditional,Reusable while premises/plant layout is unchanged.,Technical review,
DOC-004,Project Report,Business/technical report,,BRL-001,Tied to current project scope,conditional,Reusable while project scope/capacity is unchanged.,Manual review,Project-report contents were not established by the retrieved source.
DOC-005,Land Non-Agricultural (N.A.) Certificate,Land record,,BRL-001,Tied to land use classification,reusable,Reusable while land ownership and land-use classification are unchanged.,Document authenticity check against land records,Sourced from the 2014-reviewed page — reconfirm this requirement with current Excise checklist before relying on it.
DOC-006,MPCB Consent to Establish (certificate),Government-issued certificate,AUTH-MPCB,BRL-001;MPCB-CTO-001,Per MPCB consent validity period (not established by source),conditional,"Valid for the same site/activity; this is the direct output of approval MPCB-CTE-001, reused as an input document to both BRL-001 and MPCB-CTO-001.",Verify against MPCB consent number/registry,Good real-world demo case for the document reuse engine (Phase 7) — same certificate satisfies two different downstream approvals.
DOC-007,MPCB Consent to Operate (certificate),Government-issued certificate,AUTH-MPCB,BRL-001,Per MPCB consent validity period (not established by source),conditional,Output of approval MPCB-CTO-001; valid for same site/activity.,Verify against MPCB consent number/registry,
DOC-008,Fire NOC (stage not specified by source),Government-issued certificate,AUTH-FIRE,BRL-001,Unknown — not established by source,conditional,Output of FIRE-PROVISIONAL-001 or FIRE-FINAL-001; which stage satisfies BRL-001's requirement is not established by the retrieved source.,Verify against Fire Dept NOC reference number,Ambiguity: BRL checklist item 10 lists 'Fire NOC' without specifying provisional vs final. See dependencies.csv — deliberately NOT modeled as depends_on.
DOC-009,Solvency Certificate or Bank Guarantee (50% of licence fee),Financial instrument,,BRL-001,Tied to current fee cycle,fresh_required,Fee-dependent; current fee slab must be reconfirmed each cycle.,Bank/financial verification,
DOC-010,Police Department Antecedent Report,Government-issued report,,BRL-001,Unknown — validity period not established by source,conditional,Reusability window not established; reconfirm expiry before reuse.,Cross-check with issuing police station,
DOC-011,Entity Documents (Partnership Deed / MOA & AOA),Corporate/legal document,,BRL-001,Tied to entity structure,reusable,Reusable while entity structure/ownership is unchanged.,Legal document review,
DOC-012,Certified Process Flow Chart,Technical diagram,,FIRE-PROVISIONAL-001,Tied to current process,conditional,Reusable while process is unchanged.,Technical review,Related to but distinct from DOC-002 (manufacturing process statement) — worth cross-checking for consistency in the OCR/consistency engine later.
DOC-013,Approved Planning-Authority Drawings,Government-approved drawing,,FIRE-FINAL-001,Tied to current building,reusable,Reusable while building/premises is unchanged.,Verify against planning authority records,
DOC-014,Compliance / Final Fire Inspection Certificate,Government-issued certificate,AUTH-FIRE,FIRE-FINAL-001,Inspection-specific,fresh_required,Tied to a specific inspection event; not reusable.,Verify against Fire Dept inspection record,
DOC-015,Factory Plan + Prescribed Application,Application + technical plan,AUTH-DISH,DISH-PLAN-001,unknown,unknown,Not established — detailed checklist was not retrieved from the official source.,unknown,"Low confidence: service existence confirmed, document checklist was not."
DOC-016,Factory Registration/Licence Application + Supporting Info,Application form,AUTH-DISH,DISH-LICENCE-001,unknown,unknown,Not established by source.,unknown,Classification as MAH/hazardous vs other factory not resolvable without further BusinessProfile facts.
DOC-017,FoSCoS Application + Supporting Documents,Application form,AUTH-FSSAI,FSSAI-LICENCE-001,unknown,unknown,Not established — exact licence level and checklist are capacity-dependent.,unknown,
DOC-018,Rule 27 Legal Metrology Registration Application,Application form,AUTH-LM,LM-PACKAGED-001,unknown,unknown,Not established by source.,unknown,
DOC-019,CA Certificate / Balance Sheet (capital investment evidence),Financial document,,MPCB-CTE-001;MPCB-CTO-001,Tied to current financial year,conditional,Reusable within the same financial reporting period only.,CA verification,
DOC-020,Industry Registration (e.g. Udyam/EM-II),Government registration,,MPCB-CTE-001;MPCB-CTO-001,Tied to entity,reusable,Reusable while entity is unchanged.,Registry lookup,
DOC-021,Detailed Pollution-Control System Proposal,Technical proposal,,MPCB-CTE-001;MPCB-CTO-001,Tied to plant design,conditional,Reusable while pollution-control system design is unchanged.,Technical review,
DOC-022,Local Body / Planning Authority NOC (optional),NOC,,MPCB-CTE-001;MPCB-CTO-001,unknown,conditional,Officially listed as optional by MPCB — not always required.,unknown,Marked optional per source; do not treat as a hard blocker in the engine.
DOC-023,Land Ownership Certificate,Land record,,MPCB-CTE-001;MPCB-CTO-001,Tied to land ownership,reusable,Reusable while ownership is unchanged.,Document authenticity check against land records,"Related to but distinct from DOC-005 (Land N.A. Certificate) — same underlying property, different legal fact (ownership vs land-use classification). Good candidate for cross-check in the consistency engine."
DOC-030,Company Registration and Licence (copy),Corporate/legal document,,FIRE-PROVISIONAL-001,Tied to entity,reusable,Reusable while entity is unchanged.,Registry lookup,Listed explicitly in the Fire NOC provisional checklist (item 8).
