source_id,url,title,department,source_last_reviewed,retrieved_date,last_verified_date,verified_by,verification_status,staleness_flag,notes
SRC-001,https://stateexcise.maharashtra.gov.in/1251/BRL-%28Beer%29?format=print,"BRL (Beer) — Maharashtra State Excise","Maharashtra State Excise Department",2014-09-22,2026-09-12,2026-09-12,"Shreya",research_verified,TRUE,"Human spot-check completed. Current official BRL (Beer) page is live and contains an 18-item checklist broadly supporting BRL-001. The related older official BRL page explicitly states Last Reviewed: 22/09/2014. Current checklist contains additional items not currently modeled as BRL-001 documents (utilities proof, FL-3/E licence if applicable, foreign-investment details, no-dues declaration, undertaking, PAN/TAN). Older-page-only requirements such as solvency/bank guarantee should be reconciled before production use. Keep research_verified and staleness_flag=TRUE."
SRC-002,https://www.mpcb.gov.in/en/consentmgt/water-and-air-act,"Consent Under Water & Air Act — MPCB","Maharashtra Pollution Control Board",2026-01-21,2026-09-12,2026-09-12,"Shreya",research_verified,FALSE,"Human spot-check completed. Official MPCB page explicitly confirms two-phase consent: Consent to Establish before establishing the industry/process, followed by Consent to Operate after the plant and required pollution-control systems are established. Page shows Last Updated On: January 21, 2026. Supports MPCB-CTE-001 and MPCB-CTO-001."
SRC-003,https://www.mpcb.gov.in/en/consentmgt/water-and-air-act/consent-info,"Consent — Required Documents (Establish / Operate / Renewal)","Maharashtra Pollution Control Board",2026-01-21,2026-09-12,2026-09-12,"Shreya",research_verified,FALSE,"Human spot-check completed. Official MPCB Consent Information page is live and provides information for Consent to Establish and Consent to Operate/Renewal."
SRC-004,https://mahafireservice.gov.in/e-fire.php,"NOC Services — Maharashtra Fire & Emergency Services","Maharashtra Fire & Emergency Services",unknown,2026-09-12,2026-09-12,"Shreya",research_verified,unknown,"Human spot-check completed. Current official Maharashtra Fire & Emergency Services NOC services page is live. No source review date is shown, so staleness cannot be assessed."
SRC-005,https://labour.maharashtra.gov.in/en/services,"Directorate of Industrial Safety and Health (Labour Dept)","Labour Department, Government of Maharashtra",unknown,2026-09-12,2026-09-12,"Shreya",research_verified,unknown,"Human spot-check completed. Current official Labour Department Services page is live and lists Directorate of Industrial Safety and Health services. No source review date is shown, so staleness cannot be assessed."
SRC-006,https://foscos.fssai.gov.in/apply-for-lic-and-reg,"Apply for Licence — FSSAI","FSSAI",unknown,2026-09-12,2026-09-12,"Shreya",research_verified,unknown,"Human spot-check completed. Current official FoSCoS application page is live for FSSAI licence/registration applications. No source review date is shown, so staleness cannot be assessed."
SRC-007,https://fssai.gov.in/standards/product-standards,"Product Standards incl. Food Safety and Standards (Alcoholic Beverages) Regulations, 2018","FSSAI",2026-08-09,2026-09-12,2026-09-12,"Shreya",research_verified,FALSE,"Human spot-check completed. Official FSSAI product standards page is live and includes the relevant alcoholic-beverage regulatory material."
SRC-008,https://legalmetrology.maharashtra.gov.in/en/,"Weights and Measures — Legal Metrology","Department of Consumer Affairs",unknown,2026-09-12,2026-09-12,"Shreya",research_verified,unknown,"Human spot-check completed. Current official Maharashtra Legal Metrology page is live and provides Legal Metrology services. No source review date is shown, so staleness cannot be assessed."
SRC-009,https://scmexcise.mahaonline.gov.in/SCMMain.aspx,"Registration System / Beer Production & Dispatch — State Excise SCM Portal","Maharashtra State Excise Department",2020-12-15,2026-09-12,2026-09-12,"Shreya",research_verified,TRUE,"Human spot-check completed. Current State Excise SCM portal is live. Portal existence alone does NOT establish mandatory legal requirement — see EXCISE-LABEL-001 applicability_conditions."
SRC-010,https://industry.maharashtra.gov.in/sites/default/files/2025-09/20190916-psi-2019.pdf,"Package Scheme of Incentives, 2019","Maharashtra Industry Department",unknown,2026-09-12,2026-09-12,"Shreya",research_verified,unknown,"Human spot-check completed. Official Package Scheme of Incentives document is accessible. It confirms beer/liquor manufacturing is excluded from this incentive scheme. This is an incentive-eligibility fact, not an approval requirement, and is not linked to any ApprovalDefinition row."
